molecule_chembl_id,canonical_smiles,value_IC50,value_pIC50,units,MW,LogP,HBD,HBA
CHEMBL380247,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2)o1,18.0,7.7447274948966935,nM,563.0790000000002,6.000000000000005,2.0,8.0
CHEMBL214419,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(C(F)(F)F)c5)cc4)c3c2)o1,91.0,7.040958607678906,nM,596.6310000000002,6.3654000000000055,2.0,8.0
CHEMBL384711,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(Br)c5)cc4)c3c2)o1,43.0,7.366531544420413,nM,607.5300000000002,6.109100000000005,2.0,8.0
CHEMBL213818,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)cc4)c3c2)o1,24.0,7.619788758288394,nM,546.6240000000003,5.485700000000005,2.0,8.0
CHEMBL213342,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)o1,27.0,7.568636235841012,nM,528.6340000000002,5.346600000000005,2.0,8.0
CHEMBL385479,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OCCCN1CCOCC1,18.0,7.7447274948966935,nM,446.9100000000004,4.275600000000003,1.0,7.0
CHEMBL384699,COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OCCCN1CCOCC1,51.0,7.292429823902063,nM,446.9100000000004,4.275600000000003,1.0,7.0
CHEMBL213874,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OCC1CCN(C)CC1,2.0,8.698970004336019,nM,430.91100000000034,4.895100000000004,1.0,6.0
CHEMBL214631,COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OC1CCN(C)CC1,106.0,6.97469413473523,nM,416.8840000000003,4.6475000000000035,1.0,6.0
CHEMBL385471,COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OCC1CCN(C)CC1,9.0,8.045757490560675,nM,430.91100000000034,4.895100000000004,1.0,6.0
CHEMBL276154,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC1CCN(C)CC1,10.0,8.0,nM,416.8840000000003,4.6475000000000035,1.0,6.0
CHEMBL215786,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC1CCN(C)CC1,3.0,8.522878745280337,nM,430.91100000000034,4.895100000000004,1.0,6.0
CHEMBL214798,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CCN(C)CC1,2.0,8.698970004336019,nM,416.8840000000003,4.6475000000000035,1.0,6.0
CHEMBL213007,COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OC1CCN(S(C)(=O)=O)CC1,1.0,9.0,nM,480.94900000000035,3.977300000000003,1.0,7.0
CHEMBL214478,COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OC1CCN(CC(N)=O)CC1,9.0,8.045757490560675,nM,459.9090000000004,3.503000000000002,2.0,7.0
